legid,class,userid,tripid,start_lat,start_lon,constart,end_lat,end_lon,start_name,start_country,Definition,Start_Place,end_name,end_country,Definition2,motid,leg_distance,worthwhileness_rating,transport_category,campaign,weekday,weekday_class,activity
#22:20082,Leg,onEy0MLMEebOR5LZlj9TkjUGASJ3,#33:8400,50.841,4.359,50.8414.359,50.84,4.36,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,508,2,walking,BEL,Wednesday,Working_day,Walking
#23:19810,Leg,onEy0MLMEebOR5LZlj9TkjUGASJ3,#31:8368,50.841,4.359,50.8414.359,50.839,4.361,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,510,3,walking,BEL,Tuesday,Working_day,Walking
#23:20497,Leg,mpZERtkvTXdB3hEpinkwriiX2Mh1,#32:8645,50.847,4.381,50.8474.381,50.844,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,514,4,walking,BEL,Thursday,Working_day,Walking
#22:7609,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:3158,50.845,4.385,50.8454.385,50.847,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,516,4,walking,BEL,Friday,Working_day,Walking
#25:5644,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#32:2317,50.847,4.381,50.8474.381,50.845,4.386,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,518,4,walking,BEL,Wednesday,Working_day,Walking
#24:9398,Leg,mjrFDbCO6LeTtnVqi0zPxfbrYLG3,#31:3921,50.847,4.381,50.8474.381,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,518,5,walking,BEL,Thursday,Working_day,Walking
#25:20068,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#31:8529,50.847,4.381,50.8474.381,50.845,4.386,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,519,3,walking,BEL,Wednesday,Working_day,Walking
#22:8385,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#31:3454,50.847,4.381,50.8474.381,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,522,5,walking,BEL,Wednesday,Working_day,Walking
#24:4254,Leg,yXPR9mf9wfMU0yjf89NcbtRMudf1,#33:1730,50.847,4.381,50.8474.381,50.845,4.386,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,523,4,walking,BEL,Tuesday,Working_day,Walking
#22:20127,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#31:8499,50.833,4.328,50.8334.328,50.835,4.333,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,524,3,walking,BEL,Wednesday,Working_day,Walking
#25:18404,Leg,0CHk74uT2pRt5VKXM9qFVS3BLPu2,#33:7763,50.859,4.362,50.8594.362,50.857,4.359,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,526,5,walking,BEL,Friday,Working_day,Walking
#25:20181,Leg,4ZfTYSt0erSVLAeGC28PY1Z8bbS2,#33:8508,50.822,4.396,50.8224.396,50.821,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,527,3,walking,BEL,Thursday,Working_day,Walking
#22:20362,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#30:8658,50.832,4.327,50.8324.327,50.834,4.332,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,538,3,walking,BEL,Thursday,Working_day,Walking
#23:15140,Leg,xNYM910kV9SpRzfF8oMLTEa2ItS2,#33:6289,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,540,4,walking,BEL,Friday,Working_day,Walking
#23:22639,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#31:9670,50.845,4.384,50.8454.384,50.847,4.381,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,540,5,walking,BEL,Friday,Working_day,Walking
#24:34598,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#33:14777,50.847,4.391,50.8474.391,50.851,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,542,5,walking,BEL,Saturday,Weekend,Walking
#25:16190,Leg,8kja4JcYLBQsgt4asrCiOpfJUKf1,#31:6823,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,550,4,walking,BEL,Monday,Working_day,Walking
#24:18470,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#30:7891,50.847,4.381,50.8474.381,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,553,5,walking,BEL,Friday,Working_day,Walking
#24:8317,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#32:3411,50.847,4.345,50.8474.345,50.845,4.34,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,554,5,walking,BEL,Monday,Working_day,Walking
#24:10382,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#30:4352,50.845,4.34,50.8454.34,50.848,4.344,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,559,5,walking,BEL,Wednesday,Working_day,Walking
#24:7590,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#33:3088,50.845,4.386,50.8454.386,50.847,4.38,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,560,5,walking,BEL,Tuesday,Working_day,Walking
#24:7077,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#33:2879,50.845,4.385,50.8454.385,50.847,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,563,5,walking,BEL,Friday,Working_day,Walking
#24:26184,Leg,TtKfRLxsY2av6SFrPi3iBtsjfAi1,#30:11244,50.86,4.361,50.864.361,50.858,4.356,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,563,5,walking,BEL,Thursday,Working_day,Walking
#24:17946,Leg,8kja4JcYLBQsgt4asrCiOpfJUKf1,#33:7513,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,564,5,walking,BEL,Wednesday,Working_day,Walking
#22:7646,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#31:3147,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,565,5,walking,BEL,Monday,Working_day,Walking
#24:9096,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#32:3752,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,565,3,walking,BEL,Tuesday,Working_day,Walking
#22:10206,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#31:4224,50.845,4.386,50.8454.386,50.847,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,566,4,walking,BEL,Wednesday,Working_day,Walking
#25:26810,Leg,0CHk74uT2pRt5VKXM9qFVS3BLPu2,#33:11366,50.859,4.362,50.8594.362,50.856,4.36,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,566,3,walking,BEL,Monday,Working_day,Walking
#24:7556,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#32:3102,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,567,3,walking,BEL,Tuesday,Working_day,Walking
