legid,class,userid,tripid,start_lat,start_lon,constart,end_lat,end_lon,start_name,start_country,Definition,Start_Place,end_name,end_country,Definition2,motid,leg_distance,worthwhileness_rating,transport_category,campaign,weekday,weekday_class,activity
#23:20317,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#30:8652,50.846,4.388,50.8464.388,50.851,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,802,3,walking,BEL,Thursday,Working_day,Walking
#22:5152,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#33:2061,50.845,4.385,50.8454.385,50.848,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,813,5,walking,BEL,Tuesday,Working_day,Walking
#25:8295,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#30:3469,50.897,4.333,50.8974.333,50.895,4.334,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,818,5,walking,BEL,Tuesday,Working_day,Walking
#24:29548,Leg,LJdybFv4xlYxx5n1vgej2rglbCd2,#32:12562,50.848,4.348,50.8484.348,50.843,4.348,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,825,2,walking,BEL,Friday,Working_day,Walking
#25:23618,Leg,4ZfTYSt0erSVLAeGC28PY1Z8bbS2,#30:10165,50.822,4.396,50.8224.396,50.821,4.392,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,826,2,walking,BEL,Friday,Working_day,Walking
#25:7573,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#32:3113,50.845,4.377,50.8454.377,50.845,4.386,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,847,4,walking,BEL,Sunday,Weekend,Walking
#23:25929,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#33:10995,50.851,4.39,50.8514.39,50.845,4.386,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,847,3,walking,BEL,Friday,Working_day,Walking
#25:19131,Leg,Zj62iyVNq2PEAWH6kVatEsZu5tv1,#33:8033,50.925,4.42,50.9254.42,50.925,4.41,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,862,5,walking,BEL,Sunday,Weekend,Walking
#23:10066,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#32:4140,50.847,4.391,50.8474.391,50.842,4.389,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,866,5,walking,BEL,Sunday,Weekend,Walking
#23:19562,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#32:8201,50.833,4.328,50.8334.328,50.835,4.333,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,874,3,walking,BEL,Monday,Working_day,Walking
#25:38573,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#32:16588,50.855,4.355,50.8554.355,50.857,4.347,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,894,5,walking,BEL,Saturday,Weekend,Walking
#25:22495,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#32:9595,50.832,4.328,50.8324.328,50.835,4.337,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,896,3,walking,BEL,Friday,Working_day,Walking
#25:15016,Leg,xNYM910kV9SpRzfF8oMLTEa2ItS2,#32:6296,50.845,4.377,50.8454.377,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,904,5,walking,BEL,Thursday,Working_day,Walking
#24:8575,Leg,xVmMPhHKRUOFFjghmp6dbVf3UYx2,#33:3495,50.851,4.354,50.8514.354,50.856,4.359,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,904,2,walking,SVK,Friday,Working_day,Walking
#23:20252,Leg,PWtqVS4AeETtQZRpBcStRL55vKz2,#30:8618,50.864,4.353,50.8644.353,50.858,4.348,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,907,3,walking,BEL,Tuesday,Working_day,Walking
#23:20976,Leg,Zj62iyVNq2PEAWH6kVatEsZu5tv1,#33:8826,50.925,4.41,50.9254.41,50.925,4.42,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,915,5,walking,BEL,Sunday,Weekend,Walking
#24:38678,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#31:16669,50.851,4.39,50.8514.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,921,4,walking,BEL,Monday,Working_day,Walking
#23:8295,Leg,xVmMPhHKRUOFFjghmp6dbVf3UYx2,#32:3386,50.849,4.355,50.8494.355,50.855,4.358,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,926,2,walking,SVK,Wednesday,Working_day,Walking
#22:38449,Leg,LpOv0E0Dk6UeoDFAEmpSUt0ddex1,#33:16446,50.849,4.344,50.8494.344,50.853,4.35,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,931,5,walking,BEL,Friday,Working_day,Walking
#22:22617,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#30:9686,50.836,4.337,50.8364.337,50.834,4.332,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,942,2,walking,BEL,Friday,Working_day,Walking
#22:18477,Leg,mpZERtkvTXdB3hEpinkwriiX2Mh1,#33:7738,50.847,4.381,50.8474.381,50.845,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,943,5,walking,BEL,Thursday,Working_day,Walking
#23:20232,Leg,9Z2xCuB8tzgAuL3AIrFhgwFZDdn1,#30:8608,50.828,4.396,50.8284.396,50.833,4.402,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,960,5,walking,BEL,Wednesday,Working_day,Walking
#22:25961,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#32:11024,50.845,4.387,50.8454.387,50.851,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,964,3,walking,BEL,Thursday,Working_day,Walking
#23:18399,Leg,igigwkvk1xfKFR1ySEPkpRTNN862,#33:7714,50.82,4.406,50.824.406,50.819,4.408,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,965,5,walking,BEL,Thursday,Working_day,Walking
#25:5653,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:2371,50.847,4.391,50.8474.391,50.842,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,967,4,walking,BEL,Thursday,Working_day,Walking
#22:8486,Leg,IGpJc0Az17bxe4MT6pHDx6lQ3LD2,#32:3465,50.845,4.356,50.8454.356,50.849,4.345,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,974,5,walking,BEL,Thursday,Working_day,Walking
#24:24746,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#31:10563,50.851,4.39,50.8514.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,990,3,walking,BEL,Thursday,Working_day,Walking
#25:34970,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#32:14968,50.845,4.387,50.8454.387,50.852,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,991,2,walking,BEL,Friday,Working_day,Walking
#22:33712,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#33:14346,50.851,4.39,50.8514.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,997,3,walking,BEL,Friday,Working_day,Walking
#23:39213,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#33:16798,50.851,4.39,50.8514.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1004,4,walking,BEL,Tuesday,Working_day,Walking
#25:19621,Leg,9sjoMM7wJEWt2X4yfZkS03qQiHE3,#32:8272,50.857,4.377,50.8574.377,50.863,4.382,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1007,4.5,walking,BEL,Tuesday,Working_day,Walking
#23:21250,Leg,0CHk74uT2pRt5VKXM9qFVS3BLPu2,#30:9064,50.868,4.364,50.8684.364,50.859,4.362,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1008,5,walking,BEL,Monday,Working_day,Walking
#22:20566,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#32:8662,50.851,4.39,50.8514.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1014,3,walking,BEL,Friday,Working_day,Walking
#25:19356,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#32:8150,50.836,4.337,50.8364.337,50.832,4.327,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1018,2,walking,BEL,Monday,Working_day,Walking
#22:21339,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#32:8999,50.836,4.337,50.8364.337,50.832,4.327,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1032,3,walking,BEL,Monday,Working_day,Walking
#23:21578,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#31:9181,50.832,4.327,50.8324.327,50.834,4.331,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1042,2,walking,BEL,Tuesday,Working_day,Walking
#25:19627,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#30:8366,50.836,4.337,50.8364.337,50.835,4.332,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1048,3,walking,BEL,Tuesday,Working_day,Walking
#24:21850,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#30:9372,50.836,4.337,50.8364.337,50.832,4.326,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1061,3,walking,BEL,Wednesday,Working_day,Walking
#22:20316,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#32:8545,50.851,4.39,50.8514.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1062,2,walking,BEL,Thursday,Working_day,Walking
#23:27158,Leg,gqnXZ8qXiEaljj91T3koMeG2NPx2,#32:11516,50.843,4.357,50.8434.357,50.835,4.363,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1069,4,walking,ESP,Monday,Working_day,Walking
#24:37285,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#33:15970,50.845,4.386,50.8454.386,50.851,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1093,3,walking,BEL,Thursday,Working_day,Walking
#22:22790,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#33:9648,50.851,4.39,50.8514.39,50.857,4.383,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1099,3,walking,BEL,Friday,Working_day,Walking
#22:18524,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#33:7762,50.852,4.39,50.8524.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1112,3,walking,BEL,Friday,Working_day,Walking
#24:20205,Leg,PWtqVS4AeETtQZRpBcStRL55vKz2,#31:8579,50.859,4.347,50.8594.347,50.863,4.352,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1124,3,walking,BEL,Tuesday,Working_day,Walking
#25:20566,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#33:8690,50.842,4.386,50.8424.386,50.847,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1179,4,walking,BEL,Friday,Working_day,Walking
#25:11310,Leg,k609tTRuLjPcXlYjQi3oPDYZ0702,#33:4666,50.845,4.39,50.8454.39,50.847,4.381,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1207,5,walking,BEL,Thursday,Working_day,Walking
#25:22201,Leg,0CHk74uT2pRt5VKXM9qFVS3BLPu2,#30:9559,50.869,4.366,50.8694.366,50.859,4.362,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1220,2,walking,BEL,Thursday,Working_day,Walking
#23:28624,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#31:12204,50.865,4.312,50.8654.312,50.863,4.297,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1238,5,walking,BEL,Tuesday,Working_day,Walking
#23:15393,Leg,btU0wMa5UAdVIzaf66s50bdPJOx2,#33:6397,50.843,4.36,50.8434.36,50.847,4.351,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1241,4,walking,BEL,Sunday,Weekend,Walking
#25:22494,Leg,0CHk74uT2pRt5VKXM9qFVS3BLPu2,#33:9565,50.864,4.364,50.8644.364,50.856,4.36,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1297,3,walking,BEL,Friday,Working_day,Walking
#23:7592,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#31:3140,50.855,4.4,50.8554.4,50.848,4.392,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1321,4,walking,BEL,Saturday,Weekend,Walking
#22:9024,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#33:3678,50.847,4.354,50.8474.354,50.845,4.34,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1333,4,walking,BEL,Sunday,Weekend,Walking
#22:24828,Leg,mpZERtkvTXdB3hEpinkwriiX2Mh1,#32:10508,50.847,4.351,50.8474.351,50.856,4.353,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1372,5,walking,BEL,Wednesday,Working_day,Walking
#25:20729,Leg,9sjoMM7wJEWt2X4yfZkS03qQiHE3,#32:8786,50.87,4.388,50.874.388,50.867,4.374,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1394,3,walking,BEL,Thursday,Working_day,Walking
#24:25880,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#30:11119,50.849,4.378,50.8494.378,50.85,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1402,3,walking,BEL,Friday,Working_day,Walking
#22:15174,Leg,btU0wMa5UAdVIzaf66s50bdPJOx2,#33:6294,50.85,4.355,50.854.355,50.854,4.357,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1421,5,walking,BEL,Thursday,Working_day,Walking
#22:9275,Leg,O88QbwQ6ghOcPHJ94xPjI230VcB3,#31:3838,50.845,4.385,50.8454.385,50.853,4.38,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1431,4,walking,BEL,Wednesday,Working_day,Walking
#22:9291,Leg,mjrFDbCO6LeTtnVqi0zPxfbrYLG3,#30:3867,50.848,4.399,50.8484.399,50.847,4.381,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1441,5,walking,BEL,Wednesday,Working_day,Walking
#23:15346,Leg,xNYM910kV9SpRzfF8oMLTEa2ItS2,#32:6402,50.848,4.391,50.8484.391,50.855,4.401,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1463,6,walking,BEL,Sunday,Weekend,Walking
#24:20848,Leg,TWq1AUbD1zfNesNCbdLWK1vMhO22,#30:8908,50.56,4.695,50.564.695,50.55,4.695,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1479,5,walking,BEL,Saturday,Weekend,Walking
#23:25571,Leg,POR9veMucRQ5bVVLqBGmHsMJoJ62,#32:10874,50.839,4.362,50.8394.362,50.849,4.367,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1497,4,walking,ITA,Wednesday,Working_day,Walking
#23:8466,Leg,IGpJc0Az17bxe4MT6pHDx6lQ3LD2,#32:3465,50.849,4.343,50.8494.343,50.86,4.347,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1562,3,walking,BEL,Thursday,Working_day,Walking
#25:4217,Leg,yXPR9mf9wfMU0yjf89NcbtRMudf1,#33:1722,50.845,4.385,50.8454.385,50.838,4.372,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1602,4,walking,BEL,Monday,Working_day,Walking
#23:9003,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#30:3758,50.85,4.361,50.854.361,50.85,4.354,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1610,5,walking,BEL,Sunday,Weekend,Walking
#22:20634,Leg,BWXFf52ta0fyBIXsXEStC3MUkwp2,#31:8746,50.725,4.49,50.7254.49,50.73,4.475,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1660,5,walking,BEL,Friday,Working_day,Walking
#22:8435,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#32:3442,50.834,4.34,50.8344.34,50.832,4.341,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1667,3,walking,BEL,Wednesday,Working_day,Walking
#23:26370,Leg,mpZERtkvTXdB3hEpinkwriiX2Mh1,#30:11285,50.858,4.352,50.8584.352,50.846,4.348,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1711,5,walking,BEL,Saturday,Weekend,Walking
#24:5619,Leg,O88QbwQ6ghOcPHJ94xPjI230VcB3,#30:2345,50.846,4.41,50.8464.41,50.842,4.401,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1717,5,walking,BEL,Wednesday,Working_day,Walking
#23:20899,Leg,Zj62iyVNq2PEAWH6kVatEsZu5tv1,#30:8910,50.925,4.41,50.9254.41,50.93,4.425,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1729,5,walking,BEL,Saturday,Weekend,Walking
#25:15018,Leg,z5TAgZnoItOaDS6gMWU6SfadU4A2,#30:6371,50.831,4.351,50.8314.351,50.837,4.335,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1742,5,walking,PRT,Thursday,Working_day,Walking
#22:25119,Leg,t9qpQxe8N3gN7NQVHf6FodRYBug1,#30:10744,50.845,4.385,50.8454.385,50.838,4.372,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1765,4,walking,BEL,Thursday,Working_day,Walking
#24:11339,Leg,k609tTRuLjPcXlYjQi3oPDYZ0702,#30:4750,50.846,4.358,50.8464.358,50.844,4.38,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1786,5,walking,BEL,Tuesday,Working_day,Walking
#23:8367,Leg,EsMeK2dBeIXa15O5NIgXYju6wYB3,#31:3456,50.84,4.319,50.844.319,50.837,4.335,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1837,5,walking,BEL,Wednesday,Working_day,Walking
#22:19769,Leg,i6dRturrJVgBen3UlwReo1M698f1,#31:8334,50.843,4.382,50.8434.382,50.835,4.4,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1850,3,walking,BEL,Tuesday,Working_day,Walking
#25:5596,Leg,O88QbwQ6ghOcPHJ94xPjI230VcB3,#33:2276,50.845,4.385,50.8454.385,50.841,4.401,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1868,5,walking,BEL,Thursday,Working_day,Walking
#23:24711,Leg,t9qpQxe8N3gN7NQVHf6FodRYBug1,#31:10523,50.845,4.385,50.8454.385,50.838,4.372,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,1883,4,walking,BEL,Wednesday,Working_day,Walking
#25:7567,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#33:3089,50.833,4.342,50.8334.342,50.839,4.364,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2057,4,walking,BEL,Wednesday,Working_day,Walking
#23:11861,Leg,O88QbwQ6ghOcPHJ94xPjI230VcB3,#31:4932,50.843,4.362,50.8434.362,50.844,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2136,4,walking,BEL,Friday,Working_day,Walking
#24:23304,Leg,4ZfTYSt0erSVLAeGC28PY1Z8bbS2,#32:9930,50.865,4.348,50.8654.348,50.852,4.348,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2184,5,walking,BEL,Sunday,Weekend,Walking
#22:32197,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#33:13683,50.839,4.373,50.8394.373,50.847,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2332,5,walking,BEL,Wednesday,Working_day,Walking
#22:4285,Leg,yXPR9mf9wfMU0yjf89NcbtRMudf1,#30:1788,50.838,4.372,50.8384.372,50.846,4.349,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2380,4,walking,BEL,Monday,Working_day,Walking
#24:24662,Leg,t9qpQxe8N3gN7NQVHf6FodRYBug1,#32:10468,50.838,4.373,50.8384.373,50.845,4.357,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2449,4,walking,BEL,Wednesday,Working_day,Walking
#23:18904,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#30:8011,50.851,4.39,50.8514.39,50.86,4.361,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2938,2,walking,BEL,Saturday,Weekend,Walking
#22:7652,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:3169,50.831,4.342,50.8314.342,50.831,4.359,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,2956,5,walking,BEL,Wednesday,Working_day,Walking
#23:29140,Leg,gqnXZ8qXiEaljj91T3koMeG2NPx2,#33:12347,50.823,4.354,50.8234.354,50.849,4.37,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,3070,4,walking,ESP,Friday,Working_day,Walking
#24:33132,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#33:14131,50.852,4.344,50.8524.344,50.838,4.373,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,3246,5,walking,BEL,Thursday,Working_day,Walking
#22:7125,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#32:2900,50.847,4.391,50.8474.391,50.85,4.369,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,3405,5,walking,BEL,Friday,Working_day,Walking
#23:4282,Leg,yXPR9mf9wfMU0yjf89NcbtRMudf1,#32:1746,50.845,4.385,50.8454.385,50.82,4.393,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,3409,4,walking,BEL,Tuesday,Working_day,Walking
#25:22530,Leg,9sjoMM7wJEWt2X4yfZkS03qQiHE3,#31:9663,50.837,4.359,50.8374.359,50.834,4.357,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,3507,3,walking,BEL,Friday,Working_day,Walking
#22:4480,Leg,EZYvr1fxdtQkC9YLYuDXOMKpcQG2,#33:1807,50.839,4.37,50.8394.37,50.85,4.399,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,3731,4,walking,ESP,Wednesday,Working_day,Walking
#25:27186,Leg,Dd8cgjBAc2MHYgSwcMugds47NOu2,#30:11669,50.84,4.38,50.844.38,50.854,4.342,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,3750,5,walking,PRT,Monday,Working_day,Walking
#23:26252,Leg,TtKfRLxsY2av6SFrPi3iBtsjfAi1,#32:11156,50.899,4.335,50.8994.335,50.898,4.335,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,4241,4.667,walking,BEL,Saturday,Weekend,Walking
